O3;altitude
2,1544346900318866e-8;0,8440197119442416
3,6268016907964245e-8;3,9949358817283382
7,602429140842633e-8;8,653107898390914
1,3153690504363778e-7;13,450407035312693
3,162277660168379e-7;18,17582836450761
7,396863749367622e-7;21,666530534455063
0,000002275845926074791;25,223120694818803
0,0000035287350208467506;29,129570639004594
0,0000028338767124544284;33,522829371885976
0,0000011787686347935866;37,16790546979226
4,903161412303265e-7;41,430477279533875
1,8276993690192208e-7;46,51746576274878
