H2O;altitude
0,012433534237775993;0,8171206225680976
0,0025433457613046485;5,019455252918291
0,0005536601209276803;7,665369649805449
0,00005043159487171369;10,466926070038916
0,000022456979955397763;13,190661478599225
0,000015947870582948208;20,27237354085603
0,000011325413151528127;24,94163424124514
0,000007101520602780343;28,910505836575876
0,000005366976945540476;33,34630350194553
0,000009693631061142522;36,614785992217904
0,000025433457613046535;40,739299610894946
0,00007557503872394937;46,65369649805447
